Date,GOOGL,TSLA,FB,AMZN,AAPL,MSFT,VOD,ADBE,NVDA,CRM
2015-01-02,529.5499877929688,43.86199951171875,78.44999694824219,308.5199890136719,24.74599838256836,41.19383239746094,23.353845596313477,72.33999633789062,4.840062618255615,59.2400016784668
2015-01-05,519.4600219726562,42.018001556396484,77.19000244140625,302.19000244140625,24.048860549926758,40.81502151489258,22.530323028564453,71.9800033569336,4.758315086364746,58.16999816894531
2015-01-06,506.6400146484375,42.25600051879883,76.1500015258789,295.2900085449219,24.051124572753906,40.21596908569336,22.386201858520508,70.52999877929688,4.614049434661865,57.20000076293945
2015-01-07,505.1499938964844,42.189998626708984,76.1500015258789,298.4200134277344,24.38837432861328,40.726924896240234,22.537179946899414,71.11000061035156,4.602027893066406,56.93000030517578
2015-01-08,506.9100036621094,42.124000549316406,78.18000030517578,300.4599914550781,25.32543182373047,41.925045013427734,23.32639503479004,72.91999816894531,4.775144577026367,58.59000015258789
2015-01-09,500.7200012207031,41.332000732421875,77.73999786376953,296.92999267578125,25.35259437561035,41.572662353515625,23.340120315551758,71.83999633789062,4.794379234313965,58.15999984741211
2015-01-12,497.05999755859375,40.44200134277344,76.72000122070312,291.4100036621094,24.727888107299805,41.05288314819336,23.55286407470703,71.12000274658203,4.734269618988037,57.72999954223633
2015-01-13,501.79998779296875,40.849998474121094,76.44999694824219,294.739990234375,24.94743537902832,40.841453552246094,23.669530868530273,70.58999633789062,4.727057933807373,57.970001220703125
2015-01-14,505.92999267578125,38.53799819946289,76.27999877929688,293.2699890136719,24.852378845214844,40.48906326293945,23.61463165283203,69.98999786376953,4.746291637420654,57.25
2015-01-15,504.010009765625,38.374000549316406,74.05000305175781,286.95001220703125,24.17788314819336,40.06621551513672,23.55286407470703,70.29000091552734,4.712630271911621,55.11000061035156
2015-01-16,510.4599914550781,38.61399841308594,75.18000030517578,290.739990234375,23.990005493164062,40.73573303222656,23.738161087036133,71.7300033569336,4.799188137054443,56.63999938964844
2015-01-20,509.94000244140625,38.38600158691406,76.23999786376953,289.44000244140625,24.60793113708496,40.86788558959961,24.033254623413086,71.48999786376953,4.813614368438721,57.290000915527344
2015-01-21,520.3900146484375,39.31399917602539,76.73999786376953,297.25,24.79578971862793,40.45383071899414,24.726388931274414,71.54000091552734,4.8809380531311035,57.709999084472656
2015-01-22,537.2999877929688,40.32400131225586,77.6500015258789,310.32000732421875,25.44086456298828,41.51979446411133,24.712663650512695,73.4800033569336,4.965091228485107,58.0
2015-01-23,541.9500122070312,40.257999420166016,77.83000183105469,312.3900146484375,25.5721492767334,41.563838958740234,24.657760620117188,74.05999755859375,4.979517936706543,58.619998931884766
2015-01-26,536.719970703125,41.310001373291016,77.5,309.6600036621094,25.599308013916016,41.41408920288086,24.712663650512695,72.73999786376953,4.957879066467285,59.779998779296875
2015-01-27,521.1900024414062,41.19599914550781,75.77999877929688,306.75,24.702993392944336,37.58188247680664,24.644041061401367,71.45999908447266,4.719842433929443,57.790000915527344
2015-01-28,512.4299926757812,39.874000549316406,76.23999786376953,303.9100036621094,26.099519729614258,36.2868766784668,24.39011573791504,70.25,4.642902374267578,56.349998474121094
2015-01-29,513.22998046875,41.040000915527344,78.0,311.7799987792969,26.912092208862305,37.009254455566406,24.664628982543945,71.63999938964844,4.755908966064453,58.099998474121094
2015-01-30,537.5499877929688,40.720001220703125,75.91000366210938,354.5299987792969,26.51825714111328,35.59091567993164,24.108745574951172,70.12999725341797,4.616452693939209,56.45000076293945
2015-02-02,532.2000122070312,42.1879997253418,74.98999786376953,364.4700012207031,26.850975036621094,36.36616516113281,24.143056869506836,71.11000061035156,4.717438697814941,57.279998779296875
2015-02-03,533.2999877929688,43.672000885009766,75.4000015258789,363.54998779296875,26.85550880432129,36.64806365966797,24.644041061401367,71.91999816894531,4.835255146026611,58.61000061035156
2015-02-04,526.0999755859375,43.709999084472656,75.62999725341797,364.75,27.06147575378418,36.8594970703125,24.53423500061035,72.27999877929688,4.847277641296387,58.9900016784668
2015-02-05,529.8300170898438,44.198001861572266,75.61000061035156,373.8900146484375,27.254627227783203,37.396888732910156,24.143056869506836,73.0999984741211,4.926621913909912,59.2599983215332
2015-02-06,533.8800048828125,43.47200012207031,74.47000122070312,374.2799987792969,27.025117874145508,37.36164093017578,24.0812931060791,72.54000091552734,4.904980182647705,59.16999816894531
2015-02-09,529.280029296875,43.49599838256836,74.44000244140625,370.55999755859375,27.204641342163086,37.31760787963867,23.813650131225586,72.33000183105469,4.900174140930176,57.97999954223633
2015-02-10,540.1599731445312,43.257999420166016,75.19000244140625,373.0,27.727283477783203,37.52902603149414,24.184240341186523,72.76000213623047,5.037224292755127,58.790000915527344
2015-02-11,538.0,42.560001373291016,76.51000213623047,375.1400146484375,28.377174377441406,37.335227966308594,24.040119171142578,73.01000213623047,5.003561973571777,58.79999923706055
2015-02-12,546.010009765625,40.57600021362305,76.2300033569336,377.1700134277344,28.736204147338867,37.96071243286133,24.506784439086914,74.58999633789062,5.361818313598633,61.2599983215332
2015-02-13,551.1599731445312,40.75400161743164,75.73999786376953,381.8299865722656,28.877092361450195,38.64785385131836,24.602863311767578,76.51000213623047,5.364223480224609,62.849998474121094
2015-02-17,545.010009765625,40.869998931884766,75.5999984741211,375.42999267578125,29.047515869140625,38.66559600830078,24.342077255249023,77.12999725341797,5.381053447723389,62.06999969482422
2015-02-18,542.6500244140625,40.891998291015625,76.70999908447266,373.3699951171875,29.249757766723633,38.62124252319336,23.916589736938477,77.7300033569336,5.318539142608643,63.0
